sheet,cluster_id,nearest_date,point_index_in_day,B,C,D_original
all_1-0,0,2024-05-20,1,5942,20240520B01,5.89
all_1-0,0,2024-05-20,2,5981,20240520B02,0
all_1-0,0,2024-05-20,3,6020,20240520B03,0
all_1-0,0,2024-05-20,4,6059,20240520B04,0
all_1-0,0,2024-05-20,5,6098,20240520B05,0
all_1-0,0,2024-05-20,6,6137,20240520B06,0
all_1-0,0,2024-05-20,7,6176,20240520B07,0
all_1-0,0,2024-05-20,8,6215,20240520B08,0
all_1-0,1,2024-06-19,1,5630,20240619B01,0.34
all_1-0,1,2024-06-19,2,5669,20240619B02,0.88
all_1-0,1,2024-06-19,3,5708,20240619B03,0
all_1-0,1,2024-06-19,4,5747,20240619B04,19.5
all_1-0,1,2024-06-19,5,5786,20240619B05,0.83
all_1-0,1,2024-06-19,6,5825,20240619B06,0
all_1-0,1,2024-06-19,7,5864,20240619B07,19.5
all_1-0,1,2024-06-19,8,5903,20240619B08,0
all_1-0,2,2024-06-05,1,1262,20240605B01,8.31
all_1-0,2,2024-06-05,2,1301,20240605B02,2.02
all_1-0,2,2024-06-05,3,1340,20240605B03,0.34
all_1-0,2,2024-06-05,4,1379,20240605B04,14.84
all_1-0,2,2024-06-05,5,1418,20240605B05,6.76
all_1-0,2,2024-06-05,6,1457,20240605B06,0
all_1-0,2,2024-06-05,7,1496,20240605B07,0
all_1-0,2,2024-06-05,8,1535,20240605B08,2.12
all_1-0,3,2025-01-23,1,6878,20250123B01,1.66
all_1-0,3,2025-01-23,2,6917,20250123B02,2.16
all_1-0,3,2025-01-23,3,6956,20250123B03,5.11
all_1-0,3,2025-01-23,4,6995,20250123B04,2.59
all_1-0,3,2025-01-23,5,7034,20250123B05,9.96
all_1-0,3,2025-01-23,6,7073,20250123B06,3.44
all_1-0,3,2025-01-23,7,7112,20250123B07,6.15
all_1-0,3,2025-01-23,8,7151,20250123B08,4.35
all_1-0,4,2024-10-02,1,326,20241002B01,3.47
all_1-0,4,2024-10-02,2,365,20241002B02,5.4
all_1-0,4,2024-10-02,3,404,20241002B03,4.82
all_1-0,4,2024-10-02,4,443,20241002B04,3.28
all_1-0,4,2024-10-02,5,482,20241002B05,2.16
all_1-0,4,2024-10-02,6,521,20241002B06,5.82
all_1-0,4,2024-10-02,7,560,20241002B07,4.84
all_1-0,4,2024-10-02,8,599,20241002B08,2.48
all_1-0,5,2024-05-09,1,2510,20240509B01,4.05
all_1-0,5,2024-05-09,2,2549,20240509B02,6.8
all_1-0,5,2024-05-09,3,2588,20240509B03,8.68
all_1-0,5,2024-05-09,4,2627,20240509B04,11.52
all_1-0,5,2024-05-09,5,2666,20240509B05,11.88
all_1-0,5,2024-05-09,6,2705,20240509B06,6.28
all_1-0,5,2024-05-09,7,2744,20240509B07,2.71
all_1-0,5,2024-05-09,8,2783,20240509B08,3.31
all_1-0,6,2024-11-30,1,9062,20241130B01,4.17
all_1-0,6,2024-11-30,2,9101,20241130B02,7.54
all_1-0,6,2024-11-30,3,9140,20241130B03,7.81
all_1-0,6,2024-11-30,4,9179,20241130B04,13.84
all_1-0,6,2024-11-30,5,9218,20241130B05,14.91
all_1-0,6,2024-11-30,6,9257,20241130B06,3.78
all_1-0,6,2024-11-30,7,9296,20241130B07,8.28
all_1-0,6,2024-11-30,8,9335,20241130B08,3.81
all_1-0,7,2024-07-18,1,5318,20240718B01,5.42
all_1-0,7,2024-07-18,2,5357,20240718B02,5.94
all_1-0,7,2024-07-18,3,5396,20240718B03,9.8
all_1-0,7,2024-07-18,4,5435,20240718B04,8.12
all_1-0,7,2024-07-18,5,5474,20240718B05,7.73
all_1-0,7,2024-07-18,6,5513,20240718B06,2.91
all_1-0,7,2024-07-18,7,5552,20240718B07,5.82
all_1-0,7,2024-07-18,8,5591,20240718B08,4.57
all_2-1,0,2025-01-06,1,1574,20250106B01,1.37
all_2-1,0,2025-01-06,2,1613,20250106B02,1.38
all_2-1,0,2025-01-06,3,1652,20250106B03,1.28
all_2-1,0,2025-01-06,4,1691,20250106B04,3.77
all_2-1,0,2025-01-06,5,1730,20250106B05,6.63
all_2-1,0,2025-01-06,6,1769,20250106B06,1.15
all_2-1,0,2025-01-06,7,1808,20250106B07,3.06
all_2-1,0,2025-01-06,8,1847,20250106B08,0.65
all_2-1,1,2025-03-22,1,6566,20250322B01,0.49
all_2-1,1,2025-03-22,2,6605,20250322B02,0.79
all_2-1,1,2025-03-22,3,6644,20250322B03,1.37
all_2-1,1,2025-03-22,4,6683,20250322B04,2.17
all_2-1,1,2025-03-22,5,6722,20250322B05,1.56
all_2-1,1,2025-03-22,6,6761,20250322B06,1.32
all_2-1,1,2025-03-22,7,6800,20250322B07,1.91
all_2-1,1,2025-03-22,8,6839,20250322B08,0.9
all_2-1,2,2024-11-28,1,8438,20241128B01,1.75
all_2-1,2,2024-11-28,2,8477,20241128B02,1.56
all_2-1,2,2024-11-28,3,8516,20241128B03,2.21
all_2-1,2,2024-11-28,4,8555,20241128B04,6.42
all_2-1,2,2024-11-28,5,8594,20241128B05,7.38
all_2-1,2,2024-11-28,6,8633,20241128B06,2.98
all_2-1,2,2024-11-28,7,8672,20241128B07,2.7
all_2-1,2,2024-11-28,8,8711,20241128B08,0.81
all_2-1,3,2024-09-07,1,1886,20240907B01,4.88
all_2-1,3,2024-09-07,2,1925,20240907B02,4.86
all_2-1,3,2024-09-07,3,1964,20240907B03,7.16
all_2-1,3,2024-09-07,4,2003,20240907B04,9.74
all_2-1,3,2024-09-07,5,2042,20240907B05,8.81
all_2-1,3,2024-09-07,6,2081,20240907B06,1.55
all_2-1,3,2024-09-07,7,2120,20240907B07,1.96
all_2-1,3,2024-09-07,8,2159,20240907B08,1.05
all_2-1,4,2024-06-24,1,7190,20240624B01,4.97
all_2-1,4,2024-06-24,2,7229,20240624B02,5.16
all_2-1,4,2024-06-24,3,7268,20240624B03,8.95
all_2-1,4,2024-06-24,4,7307,20240624B04,12
all_2-1,4,2024-06-24,5,7346,20240624B05,11.42
all_2-1,4,2024-06-24,6,7385,20240624B06,3.11
all_2-1,4,2024-06-24,7,7424,20240624B07,0.82
all_2-1,4,2024-06-24,8,7463,20240624B08,4.97
all_2-1,5,2024-11-23,1,6878,20241123B01,2.78
